id,title,artist,mood,tags,path
1,Skyfall,Adele,angry,orchestral pop and pop-soul,C:/Users/deek/Music/music/angry/Adele_Adele_-_Skyfall.wav
2,Bones,Mr-Jat.in,excited,upbeat,C:/Users/deek/Music/music/excited/Bones-_Mr-Jat.in_.wav
3,Naa Ready,Anirudh Ravichander,happy,upbeat,C:/Users/deek/Music/music/happy/Naa-Ready.wav
4,Until I Found You,Stephen Sanchez,happy,pop,C:/Users/deek/Music/music/happy/Stephen_Sanchez_-_Until_I_Found_You.wav
5,Alone,Alan Walker,lonely,unity|sequels,C:/Users/deek/Music/music/lonely/Alan_Walker_-_Alone.wav
6,Glory Brazillian Phonk,Dangerdoom_Khooni,motivated,instrumental,C:/Users/deek/Music/music/motivated/glory_phonk_brazil.wav
7,Attention,Charlie Puth,neutral,pop|pop_rock,C:/Users/deek/Music/music/neutral/Attention-_Mr-Jat.in_.wav
8,Dandelions,Ruth B,relaxed,relaxed,C:/Users/deek/Music/music/relaxed/Dandelions-_PenduJatt.Com.Se_.wav
9,Perfect,Ed Sheeran,romantic,love|ballad|emotional,C:/Users/deek/Music/music/romantic/Ed-Sheeran-Perfect.wav
10,Night Changes,One Direction,sad,pop|ballad,C:/Users/deek/Music/music/sad/Night Changes.wav
11,Unakkul Naane,Harris Jayaraj,romantic,love,C:/Users/deek/Music/music/romantic/Unakkul Naane.wav
12,Kaannukulla,Sai Abhyankkar,sad,sad,C:/Users/deek/Music/music/sad/Kannukulla.wav